metric,stat,pval,group1,group2
TLOC,0.4645515080297689,6.6903409558938e-07,tool,SDK
TLOC,0.5144927536231884,0.34346504559270513,tool,games
TLOC,0.8648648648648649,0.006786878701177723,SDK,games
NOP,0.22980591998265207,0.16031671188542226,__ALL__,parsers/generators/make
NOP,0.3669397933737086,0.03612241118732901,__ALL__,3D/graphics/media
NOP,0.6146173028966047,3.6084364216259754e-05,__ALL__,diagram generator/data visualization
NOP,0.5292126825792661,0.024464980662747028,__ALL__,programming language
NOP,0.23946712166951042,0.20139349380624194,__ALL__,database
NOP,0.39971499821873885,1.911853482202918e-11,__ALL__,middleware
NOP,0.16663985198294587,1.2937164888195185e-07,__ALL__,IDE
NOP,0.46670089482176913,0.0007694349371197296,__ALL__,testing
NOP,0.43093353572590265,7.635964198236055e-08,__ALL__,tool
NOP,0.13865111994787804,0.04221799588189377,__ALL__,SDK
NOP,0.9052369077306733,0.0018258913887975248,__ALL__,games
NOP,0.3105590062111801,0.2944093272098245,parsers/generators/make,3D/graphics/media
NOP,0.5852842809364549,0.0036436272692243385,parsers/generators/make,diagram generator/data visualization
NOP,0.5962732919254659,0.02698005698005698,parsers/generators/make,programming language
NOP,0.4073226544622426,0.043842769335050734,parsers/generators/make,database
NOP,0.453416149068323,0.0006820991350496385,parsers/generators/make,middleware
NOP,0.22215988779803647,0.1963671563764193,parsers/generators/make,IDE
NOP,0.5063938618925832,0.007378142847670394,parsers/generators/make,testing
NOP,0.5217391304347826,0.0003139797502935176,parsers/generators/make,tool
NOP,0.3627105366235801,0.009259472527391933,parsers/generators/make,SDK
NOP,0.8260869565217391,0.026923076923076925,parsers/generators/make,games
NOP,0.4835164835164835,0.05902987790590429,3D/graphics/media,diagram generator/data visualization
NOP,0.42857142857142855,0.3413054695562436,3D/graphics/media,programming language
NOP,0.2631578947368421,0.521162609066923,3D/graphics/media,database
NOP,0.21428571428571427,0.5918899143172119,3D/graphics/media,middleware
NOP,0.5241167434715822,0.0005332344293527983,3D/graphics/media,IDE
NOP,0.3025210084033613,0.38465552358700866,3D/graphics/media,testing
NOP,0.2422360248447205,0.4739657434185914,3D/graphics/media,tool
NOP,0.41827541827541825,0.016644577635607404,3D/graphics/media,SDK
NOP,0.8571428571428571,0.02941176470588235,3D/graphics/media,games
NOP,0.27472527472527475,0.7796439628482972,diagram generator/data visualization,programming language
NOP,0.5020242914979757,0.028324167409382865,diagram generator/data visualization,database
NOP,0.34706959706959706,0.1016630075233111,diagram generator/data visualization,middleware
NOP,0.7498759305210918,8.006979515591216e-08,diagram generator/data visualization,IDE
NOP,0.22171945701357465,0.7797418583941114,diagram generator/data visualization,testing
NOP,0.25752508361204013,0.43271087141945885,diagram generator/data visualization,tool
NOP,0.6881496881496881,6.409194346699971e-06,diagram generator/data visualization,SDK
NOP,0.46153846153846156,0.5499999999999999,diagram generator/data visualization,games
NOP,0.43609022556390975,0.21104287017330498,programming language,database
NOP,0.32142857142857145,0.4439259160999799,programming language,middleware
NOP,0.695852534562212,0.0007522395311413895,programming language,IDE
NOP,0.31092436974789917,0.5953066130411669,programming language,testing
NOP,0.27639751552795033,0.647373141888692,programming language,tool
NOP,0.5083655083655083,0.041017407669577344,programming language,SDK
NOP,0.5714285714285714,0.4,programming language,games
NOP,0.36466165413533835,0.023475038104372434,database,middleware
